Year,Median_Salary_EUR,Average_Salary_EUR,1st_Decile,9th_Decile,Wage_Index,Source
2015,NaN,NaN,NaN,NaN,NaN, 
2016,NaN,NaN,NaN,NaN,NaN, 
2017,NaN,NaN,NaN,NaN,NaN,
2021,3524,3933,2321,6000,NaN,https://pxdata.stat.fi/PxWeb/pxweb/en/StatFin_Passiivi/StatFin_Passiivi__yskp/statfinpas_yskp_pxt_13qf_202100.px
2022,3625,4045,2388,6157,NaN, https://pxdata.stat.fi/PxWeb/pxweb/en/StatFin_Passiivi/StatFin_Passiivi__yskp/statfinpas_yskp_pxt_142_202200y.px
2023,3799,4215,2503,6400,NaN,https://pxdata.stat.fi/PxWeb/pxweb/en/StatFin/StatFin__yskp/statfin_yskp_pxt_14tu.px
2024,NaN,NaN,NaN,NaN,NaN,
2024,NaN,NaN,NaN,NaN,NaN,
